"diagnosis_code","diagnosis_description"
"C84.A0","Cutaneous T-cell lymphoma, unspecified, unspecified site"
"C84.A3","Cutaneous T-cell lymphoma, unspecified, intra-abdominal lymph nodes"
"C84.00","Mycosis fungoides, unspecified site"
"D68.1","Hereditary factor XI deficiency"
"I74.3","Embolism and thrombosis of arteries of the lower extremities"
"I50.810","Right heart failure, unspecified"
"I27.29","Other secondary pulmonary hypertension"
"I13.11","Hypertensive heart and chronic kidney disease without heart failure, with stage 5 chronic kidney disease, or end stage renal disease"
"I27.22","Pulmonary hypertension due to left heart disease"
"M32.0","Drug-induced systemic lupus erythematosus"
"E08.00","Diabetes mellitus due to underlying condition with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)"
"E08.3513","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, bilateral"
"E13.00","Other specified diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)"
"E10.3513","Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral"
"I60.7","Nontraumatic subarachnoid hemorrhage from unspecified intracranial artery"
"I60.31","Nontraumatic subarachnoid hemorrhage from right posterior communicating artery"
"I61.5","Nontraumatic intracerebral hemorrhage, intraventricular"
"G40.B19","Juvenile myoclonic epilepsy, intractable, without status epilepticus"
"C49.22","Malignant neoplasm of connective and soft tissue of left lower limb, including hip"
"C77.4","Secondary and unspecified malignant neoplasm of inguinal and lower limb lymph nodes"
"C40.20","Malignant neoplasm of long bones of unspecified lower limb"
"C76.50","Malignant neoplasm of unspecified lower limb"
"C75.0","Malignant neoplasm of parathyroid gland"
"K29.20","Alcoholic gastritis without bleeding"
"K70.10","Alcoholic hepatitis without ascites"
"F10.231","Alcohol dependence with withdrawal delirium"
"D68.4","Acquired coagulation factor deficiency"
"I72.4","Aneurysm of artery of lower extremity"
"E13.65","Other specified diabetes mellitus with hyperglycemia"
"C49.0","Malignant neoplasm of connective and soft tissue of head, face and neck"
"K74.0","Hepatic fibrosis"
"F13.280","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced anxiety disorder"
"F16.288","Hallucinogen dependence with other hallucinogen-induced disorder"
"E10.3392","Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye"
"E10.3492","Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye"
"E10.3591","Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye"
"E08.42","Diabetes mellitus due to underlying condition with diabetic polyneuropathy"
"E11.3492","Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye"
"E10.3592","Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye"
"E10.622","Type 1 diabetes mellitus with other skin ulcer"
"E10.41","Type 1 diabetes mellitus with diabetic mononeuropathy"
"E13.621","Other specified diabetes mellitus with foot ulcer"
"E11.641","Type 2 diabetes mellitus with hypoglycemia with coma"
"E10.3491","Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye"
"E08.21","Diabetes mellitus due to underlying condition with diabetic nephropathy"
"E08.3523","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral"
"E08.49","Diabetes mellitus due to underlying condition with other diabetic neurological complication"
"E08.10","Diabetes mellitus due to underlying condition with ketoacidosis without coma"
"E08.621","Diabetes mellitus due to underlying condition with foot ulcer"
"E10.3399","Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye"
"E10.44","Type 1 diabetes mellitus with diabetic amyotrophy"
"M33.90","Dermatopolymyositis, unspecified, organ involvement unspecified"
"I73.89","Other specified peripheral vascular diseases"
"M33.13","Other dermatomyositis without myopathy"
"M33.91","Dermatopolymyositis, unspecified with respiratory involvement"
"B19.9","Unspecified viral hepatitis without hepatic coma"
"F19.129","Other psychoactive substance abuse with intoxication, unspecified"
"F13.229","Sedative, hypnotic or anxiolytic dependence with intoxication, unspecified"
"F19.239","Other psychoactive substance dependence with withdrawal, unspecified"
"F31.61","Bipolar disorder, current episode mixed, mild"
"E08.11","Diabetes mellitus due to underlying condition with ketoacidosis with coma"
"M35.3","Polymyalgia rheumatica"
"G46.3","Brain stem stroke syndrome"
"I66.9","Occlusion and stenosis of unspecified cerebral artery"
"I66.3","Occlusion and stenosis of cerebellar arteries"
"I63.132","Cerebral infarction due to embolism of left carotid artery"
"I27.2","Other secondary pulmonary hypertension"
"I70.203","Unspecified atherosclerosis of native arteries of extremities, bilateral legs"
"J43.2","Centrilobular emphysema"
"G37.3","Acute transverse myelitis in demyelinating disease of central nervous system"
"F15.120","Other stimulant abuse with intoxication, uncomplicated"
"I73.01","Raynaud's syndrome with gangrene"
"K74.00","Hepatic fibrosis, unspecified"
"G83.89","Other specified paralytic syndromes"
"F30.8","Other manic episodes"
"M08.1","Juvenile ankylosing spondylitis"
"M08.3","Juvenile rheumatoid polyarthritis (seronegative)"
"C56.1","Malignant neoplasm of right ovary"
"Q22.0","Pulmonary valve atresia"
"K74.02","Hepatic fibrosis, advanced fibrosis"
"I65.02","Occlusion and stenosis of left vertebral artery"
"Q22.6","Hypoplastic right heart syndrome"
"H35.039","Hypertensive retinopathy, unspecified eye"
"C77.0","Secondary and unspecified malignant neoplasm of lymph nodes of head, face and neck"
"C76.0","Malignant neoplasm of head, face and neck"
"F10.950","Alcohol use, unspecified with alcohol-induced psychotic disorder with delusions"
"I36.2","Nonrheumatic tricuspid (valve) stenosis with insufficiency"
"I07.0","Rheumatic tricuspid stenosis"
"I01.1","Acute rheumatic endocarditis"
"I09.1","Rheumatic diseases of endocardium, valve unspecified"
"I63.09","Cerebral infarction due to thrombosis of other precerebral artery"
"D61.811","Other drug-induced pancytopenia"
"I36.0","Nonrheumatic tricuspid (valve) stenosis"
"I07.8","Other rheumatic tricuspid valve diseases"
"E11.610","Type 2 diabetes mellitus with diabetic neuropathic arthropathy"
"Q22.3","Other congenital malformations of pulmonary valve"
"I28.1","Aneurysm of pulmonary artery"
"C17.9","Malignant neoplasm of small intestine, unspecified"
"C96.Z","Other specified malignant neoplasms of lymphoid, hematopoietic and related tissue"
"I27.23","Pulmonary hypertension due to lung diseases and hypoxia"
"E13.49","Other specified diabetes mellitus with other diabetic neurological complication"
"Z94.4","Liver transplant status"
"I86.4","Gastric varices"
"I77.1","Stricture of artery"
"M06.4","Inflammatory polyarthropathy"
"I72.2","Aneurysm of renal artery"
"G21.9","Secondary parkinsonism, unspecified"
"M07.672","Enteropathic arthropathies, left ankle and foot"
"M07.671","Enteropathic arthropathies, right ankle and foot"
"K70.0","Alcoholic fatty liver"
"K70.9","Alcoholic liver disease, unspecified"
"K70.41","Alcoholic hepatic failure with coma"
"K76.7","Hepatorenal syndrome"
"F10.232","Alcohol dependence with withdrawal with perceptual disturbance"
"I51.81","Takotsubo syndrome"
"K74.4","Secondary biliary cirrhosis"
"I69.054","Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting left non-dominant side"
"G81.14","Spastic hemiplegia affecting left nondominant side"
"I69.359","Hemiplegia and hemiparesis following cerebral infarction affecting unspecified side"
"G81.10","Spastic hemiplegia affecting unspecified side"
"F10.94","Alcohol use, unspecified with alcohol-induced mood disorder"
"E11.3593","Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral"
"E10.3542","Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye"
"E11.3592","Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye"
"E10.3541","Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye"
"E10.3532","Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye"
"E11.3591","Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye"
"E11.3542","Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye"
"I78.8","Other diseases of capillaries"
"E08.01","Diabetes mellitus due to underlying condition with hyperosmolarity with coma"
"I74.2","Embolism and thrombosis of arteries of the upper extremities"
"I65.01","Occlusion and stenosis of right vertebral artery"
"I72.0","Aneurysm of carotid artery"
"I50.812","Chronic right heart failure"
"M33.21","Polymyositis with respiratory involvement"
"M33.29","Polymyositis with other organ involvement"
"I69.30","Unspecified sequelae of cerebral infarction"
"I27.9","Pulmonary heart disease, unspecified"
"G36.0","Neuromyelitis optica [Devic]"
"G82.20","Paraplegia, unspecified"
"G83.9","Paralytic syndrome, unspecified"
"Q23.3","Congenital mitral insufficiency"
"F11.229","Opioid dependence with intoxication, unspecified"
"D52.0","Dietary folate deficiency anemia"
"I05.0","Rheumatic mitral stenosis"
"I63.511","Cerebral infarction due to unspecified occlusion or stenosis of right middle cerebral artery"
"I63.031","Cerebral infarction due to thrombosis of right carotid artery"
"I63.411","Cerebral infarction due to embolism of right middle cerebral artery"
"G40.009","Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, not intractable, without status epilepticus"
"F14.188","Cocaine abuse with other cocaine-induced disorder"
"C44.99","Other specified malignant neoplasm of skin, unspecified"
"C44.90","Unspecified malignant neoplasm of skin, unspecified"
"M06.061","Rheumatoid arthritis without rheumatoid factor, right knee"
"M06.871","Other specified rheumatoid arthritis, right ankle and foot"
"M06.071","Rheumatoid arthritis without rheumatoid factor, right ankle and foot"
"M05.871","Other rheumatoid arthritis with rheumatoid factor of right ankle and foot"
"C32.9","Malignant neoplasm of larynx, unspecified"
"D03.61","Melanoma in situ of right upper limb, including shoulder"
"F19.230","Other psychoactive substance dependence with withdrawal, uncomplicated"
"F10.29","Alcohol dependence with unspecified alcohol-induced disorder"
"F31.2","Bipolar disorder, current episode manic severe with psychotic features"
"I72.8","Aneurysm of other specified arteries"
"Z68.54","Body mass index [BMI] pediatric, greater than or equal to 95th percentile for age"
"D69.49","Other primary thrombocytopenia"
"I63.412","Cerebral infarction due to embolism of left middle cerebral artery"
"G91.1","Obstructive hydrocephalus"
"K28.4","Chronic or unspecified gastrojejunal ulcer with hemorrhage"
"F14.23","Cocaine dependence with withdrawal"
"M05.741","Rheumatoid arthritis with rheumatoid factor of right hand without organ or systems involvement"
"M05.742","Rheumatoid arthritis with rheumatoid factor of left hand without organ or systems involvement"
"M31.19","Other thrombotic microangiopathy"
"G91.0","Communicating hydrocephalus"
"I67.4","Hypertensive encephalopathy"
"F06.34","Mood disorder due to known physiological condition with mixed features"
"G83.10","Monoplegia of lower limb affecting unspecified side"
"C18.3","Malignant neoplasm of hepatic flexure"
"C78.7","Secondary malignant neoplasm of liver and intrahepatic bile duct"
"C22.9","Malignant neoplasm of liver, not specified as primary or secondary"
"C79.81","Secondary malignant neoplasm of breast"
"E11.3312","Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye"
"F13.19","Sedative, hypnotic or anxiolytic abuse with unspecified sedative, hypnotic or anxiolytic-induced disorder"
"F12.229","Cannabis dependence with intoxication, unspecified"
"G83.20","Monoplegia of upper limb affecting unspecified side"
"I63.89","Other cerebral infarction"
"F15.159","Other stimulant abuse with stimulant-induced psychotic disorder, unspecified"
"R93.9","Diagnostic imaging inconclusive due to excess body fat of patient"
"K26.5","Chronic or unspecified duodenal ulcer with perforation"
"F06.1","Catatonic disorder due to known physiological condition"
"F14.29","Cocaine dependence with unspecified cocaine-induced disorder"
"K27.5","Chronic or unspecified peptic ulcer, site unspecified, with perforation"
"K25.5","Chronic or unspecified gastric ulcer with perforation"
"E09.9","Drug or chemical induced diabetes mellitus without complications"
"E03.0","Congenital hypothyroidism with diffuse goiter"
"C21.0","Malignant neoplasm of anus, unspecified"
"C78.5","Secondary malignant neoplasm of large intestine and rectum"
"E31.21","Multiple endocrine neoplasia [MEN] type I"
"G25.9","Extrapyramidal and movement disorder, unspecified"
"I77.810","Thoracic aortic ectasia"
"F12.959","Cannabis use, unspecified with psychotic disorder, unspecified"
"C78.00","Secondary malignant neoplasm of unspecified lung"
"C78.89","Secondary malignant neoplasm of other digestive organs"
"F12.29","Cannabis dependence with unspecified cannabis-induced disorder"
"G25.4","Drug-induced chorea"
"I27.24","Chronic thromboembolic pulmonary hypertension"
"G82.22","Paraplegia, incomplete"
"I75.019","Atheroembolism of unspecified upper extremity"
"F11.129","Opioid abuse with intoxication, unspecified"
"F19.121","Other psychoactive substance abuse with intoxication delirium"
"F12.129","Cannabis abuse with intoxication, unspecified"
"G45.3","Amaurosis fugax"
"G47.411","Narcolepsy with cataplexy"
"C49.6","Malignant neoplasm of connective and soft tissue of trunk, unspecified"
"D69.8","Other specified hemorrhagic conditions"
"D53.0","Protein deficiency anemia"
"G81.90","Hemiplegia, unspecified affecting unspecified side"
"C53.0","Malignant neoplasm of endocervix"
"C79.01","Secondary malignant neoplasm of right kidney and renal pelvis"
"M32.13","Lung involvement in systemic lupus erythematosus"
"M31.0","Hypersensitivity angiitis"
"K25.7","Chronic gastric ulcer without hemorrhage or perforation"
"F30.10","Manic episode without psychotic symptoms, unspecified"
"I27.21","Secondary pulmonary arterial hypertension"
"G32.89","Other specified degenerative disorders of nervous system in diseases classified elsewhere"
"I50.813","Acute on chronic right heart failure"
"I13.10","Hypertensive heart and chronic kidney disease without heart failure, with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease"
"I50.83","High output heart failure"
"I27.89","Other specified pulmonary heart diseases"
"F02.81","Dementia in other diseases classified elsewhere with behavioral disturbance"
"M06.30","Rheumatoid nodule, unspecified site"
"E66.1","Drug-induced obesity"
"G83.4","Cauda equina syndrome"
"D05.00","Lobular carcinoma in situ of unspecified breast"
"D05.02","Lobular carcinoma in situ of left breast"
"E10.3211","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye"
"E10.329","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema"
"E10.3511","Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye"
"E10.3512","Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye"
"E10.351","Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema"
"E10.3519","Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye"
"H34.231","Retinal artery branch occlusion, right eye"
"H34.239","Retinal artery branch occlusion, unspecified eye"
"D68.312","Antiphospholipid antibody with hemorrhagic disorder"
"C96.9","Malignant neoplasm of lymphoid, hematopoietic and related tissue, unspecified"
"I66.8","Occlusion and stenosis of other cerebral arteries"
"C78.4","Secondary malignant neoplasm of small intestine"
"C79.19","Secondary malignant neoplasm of other urinary organs"
"F10.14","Alcohol abuse with alcohol-induced mood disorder"
"F25.8","Other schizoaffective disorders"
"F11.120","Opioid abuse with intoxication, uncomplicated"
"K74.5","Biliary cirrhosis, unspecified"
"I85.01","Esophageal varices with bleeding"
"F20.1","Disorganized schizophrenia"
"F20.5","Residual schizophrenia"
"F20.81","Schizophreniform disorder"
"C48.1","Malignant neoplasm of specified parts of peritoneum"
"F14.120","Cocaine abuse with intoxication, uncomplicated"
"J45.991","Cough variant asthma"
"F06.32","Mood disorder due to known physiological condition with major depressive-like episode"
"F15.188","Other stimulant abuse with other stimulant-induced disorder"
"I77.819","Aortic ectasia, unspecified site"
"F15.122","Other stimulant abuse with intoxication with perceptual disturbance"
"F11.122","Opioid abuse with intoxication with perceptual disturbance"
"F14.122","Cocaine abuse with intoxication with perceptual disturbance"
"M32.12","Pericarditis in systemic lupus erythematosus"
"M08.20","Juvenile rheumatoid arthritis with systemic onset, unspecified site"
"M08.29","Juvenile rheumatoid arthritis with systemic onset, multiple sites"
"I69.392","Facial weakness following cerebral infarction"
"D05.10","Intraductal carcinoma in situ of unspecified breast"
"D05.91","Unspecified type of carcinoma in situ of right breast"
"M31.4","Aortic arch syndrome [Takayasu]"
"I70.1","Atherosclerosis of renal artery"
"T82.03XA","Leakage of heart valve prosthesis, initial encounter"
"I01.9","Acute rheumatic heart disease, unspecified"
"I01.8","Other acute rheumatic heart disease"
"I71.4","Abdominal aortic aneurysm, without rupture"
"I70.298","Other atherosclerosis of native arteries of extremities, other extremity"
"F19.288","Other psychoactive substance dependence with other psychoactive substance-induced disorder"
"E09.649","Drug or chemical induced diabetes mellitus with hypoglycemia without coma"
"I63.429","Cerebral infarction due to embolism of unspecified anterior cerebral artery"
"I66.09","Occlusion and stenosis of unspecified middle cerebral artery"
"I07.2","Rheumatic tricuspid stenosis and insufficiency"
"B37.6","Candidal endocarditis"
"T82.01XA","Breakdown (mechanical) of heart valve prosthesis, initial encounter"
"I50.811","Acute right heart failure"
"T82.09XA","Other mechanical complication of heart valve prosthesis, initial encounter"
"T82.6XXD","Infection and inflammatory reaction due to cardiac valve prosthesis, subsequent encounter"
"I50.89","Other heart failure"
"I61.0","Nontraumatic intracerebral hemorrhage in hemisphere, subcortical"
"I61.8","Other nontraumatic intracerebral hemorrhage"
"A18.01","Tuberculosis of spine"
"D07.2","Carcinoma in situ of vagina"
"M35.2","Behcet's disease"
"E10.630","Type 1 diabetes mellitus with periodontal disease"
"D69.1","Qualitative platelet defects"
"D69.51","Posttransfusion purpura"
"G82.50","Quadriplegia, unspecified"
"Q22.4","Congenital tricuspid stenosis"
"I63.449","Cerebral infarction due to embolism of unspecified cerebellar artery"
"C78.02","Secondary malignant neoplasm of left lung"
"C78.01","Secondary malignant neoplasm of right lung"
"I71.01","Dissection of thoracic aorta"
"G25.5","Other chorea"
"F13.11","Sedative, hypnotic or anxiolytic abuse, in remission"
"M12.049","Chronic postrheumatic arthropathy [Jaccoud], unspecified hand"
"I66.02","Occlusion and stenosis of left middle cerebral artery"
"I63.512","Cerebral infarction due to unspecified occlusion or stenosis of left middle cerebral artery"
"F06.30","Mood disorder due to known physiological condition, unspecified"
"I65.1","Occlusion and stenosis of basilar artery"
"G45.4","Transient global amnesia"
"B19.0","Unspecified viral hepatitis with hepatic coma"
"I05.1","Rheumatic mitral insufficiency"
"C15.5","Malignant neoplasm of lower third of esophagus"
"C16.0","Malignant neoplasm of cardia"
"C15.4","Malignant neoplasm of middle third of esophagus"
"F13.230","Sedative, hypnotic or anxiolytic dependence with withdrawal, uncomplicated"
"F34.0","Cyclothymic disorder"
"I69.328","Other speech and language deficits following cerebral infarction"
"I71.02","Dissection of abdominal aorta"
"F11.959","Opioid use, unspecified with opioid-induced psychotic disorder, unspecified"
"Q22.9","Congenital malformation of tricuspid valve, unspecified"
"F14.959","Cocaine use, unspecified with cocaine-induced psychotic disorder, unspecified"
"M35.89","Other specified systemic involvement of connective tissue"
"M05.721","Rheumatoid arthritis with rheumatoid factor of right elbow without organ or systems involvement"
"M05.722","Rheumatoid arthritis with rheumatoid factor of left elbow without organ or systems involvement"
"E10.339","Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema"
"G83.30","Monoplegia, unspecified affecting unspecified side"
"G82.21","Paraplegia, complete"
"I37.0","Nonrheumatic pulmonary valve stenosis"
"Q22.2","Congenital pulmonary valve insufficiency"
"I37.2","Nonrheumatic pulmonary valve stenosis with insufficiency"
"E11.3599","Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye"
"E11.3519","Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye"
"E11.351","Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema"
"G89.0","Central pain syndrome"
"F13.129","Sedative, hypnotic or anxiolytic abuse with intoxication, unspecified"
"M06.342","Rheumatoid nodule, left hand"
"M06.341","Rheumatoid nodule, right hand"
"K71.6","Toxic liver disease with hepatitis, not elsewhere classified"
"Z95.811","Presence of heart assist device"
"T82.6XXS","Infection and inflammatory reaction due to cardiac valve prosthesis, sequela"
"C43.60","Malignant melanoma of unspecified upper limb, including shoulder"
"Q23.8","Other congenital malformations of aortic and mitral valves"
"G23.8","Other specified degenerative diseases of basal ganglia"
"M32.11","Endocarditis in systemic lupus erythematosus"
"M35.09","Sjogren syndrome with other organ involvement"
"A18.84","Tuberculosis of heart"
"G80.8","Other cerebral palsy"
"D05.81","Other specified type of carcinoma in situ of right breast"
"E10.11","Type 1 diabetes mellitus with ketoacidosis with coma"
"C43.71","Malignant melanoma of right lower limb, including hip"
"G25.79","Other drug induced movement disorders"
"K26.0","Acute duodenal ulcer with hemorrhage"
"F31.11","Bipolar disorder, current episode manic without psychotic features, mild"
"I61.3","Nontraumatic intracerebral hemorrhage in brain stem"
"G91.8","Other hydrocephalus"
"E10.49","Type 1 diabetes mellitus with other diabetic neurological complication"
"I60.4","Nontraumatic subarachnoid hemorrhage from basilar artery"
"I60.8","Other nontraumatic subarachnoid hemorrhage"
"I61.2","Nontraumatic intracerebral hemorrhage in hemisphere, unspecified"
"I69.365","Other paralytic syndrome following cerebral infarction, bilateral"
"F12.121","Cannabis abuse with intoxication delirium"
"I69.312","Visuospatial deficit and spatial neglect following cerebral infarction"
"P91.60","Hypoxic ischemic encephalopathy [HIE], unspecified"
"P91.63","Severe hypoxic ischemic encephalopathy [HIE]"
"M05.771","Rheumatoid arthritis with rheumatoid factor of right ankle and foot without organ or systems involvement"
"M05.772","Rheumatoid arthritis with rheumatoid factor of left ankle and foot without organ or systems involvement"
"M30.1","Polyarteritis with lung involvement [Churg-Strauss]"
"M31.30","Wegener's granulomatosis without renal involvement"
"F34.9","Persistent mood [affective] disorder, unspecified"
"G40.419","Other generalized epilepsy and epileptic syndromes, intractable, without status epilepticus"
"M34.89","Other systemic sclerosis"
"Q22.1","Congenital pulmonary valve stenosis"
"C56.2","Malignant neoplasm of left ovary"
"I63.81","Other cerebral infarction due to occlusion or stenosis of small artery"
"I61.1","Nontraumatic intracerebral hemorrhage in hemisphere, cortical"
"I69.992","Facial weakness following unspecified cerebrovascular disease"
"I69.319","Unspecified symptoms and signs involving cognitive functions following cerebral infarction"
"I69.391","Dysphagia following cerebral infarction"
"I69.31","Cognitive deficits following cerebral infarction"
"G40.301","Generalized idiopathic epilepsy and epileptic syndromes, not intractable, with status epilepticus"
"G81.11","Spastic hemiplegia affecting right dominant side"
"G40.801","Other epilepsy, not intractable, with status epilepticus"
"I63.312","Cerebral infarction due to thrombosis of left middle cerebral artery"
"C11.1","Malignant neoplasm of posterior wall of nasopharynx"
"M45.8","Ankylosing spondylitis sacral and sacrococcygeal region"
"G83.5","Locked-in state"
"M05.70","Rheumatoid arthritis with rheumatoid factor of unspecified site without organ or systems involvement"
"M06.019","Rheumatoid arthritis without rheumatoid factor, unspecified shoulder"
"F31.71","Bipolar disorder, in partial remission, most recent episode hypomanic"
"C57.3","Malignant neoplasm of parametrium"
"I63.311","Cerebral infarction due to thrombosis of right middle cerebral artery"
"E11.44","Type 2 diabetes mellitus with diabetic amyotrophy"
"I63.6","Cerebral infarction due to cerebral venous thrombosis, nonpyogenic"
"K72.91","Hepatic failure, unspecified with coma"
"C25.9","Malignant neoplasm of pancreas, unspecified"
"Z91.15","Patient's noncompliance with renal dialysis"
"E11.3491","Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye"
"E11.3292","Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye"
"E11.3212","Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye"
"E11.3411","Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye"
"G24.8","Other dystonia"
"F30.2","Manic episode, severe with psychotic symptoms"
"G12.20","Motor neuron disease, unspecified"
"G83.14","Monoplegia of lower limb affecting left nondominant side"
"H34.233","Retinal artery branch occlusion, bilateral"
"C69.32","Malignant neoplasm of left choroid"
"C69.92","Malignant neoplasm of unspecified site of left eye"
"C70.9","Malignant neoplasm of meninges, unspecified"
"C53.1","Malignant neoplasm of exocervix"
"J47.1","Bronchiectasis with (acute) exacerbation"
"K74.01","Hepatic fibrosis, early fibrosis"
"J47.0","Bronchiectasis with acute lower respiratory infection"
"F11.288","Opioid dependence with other opioid-induced disorder"
"F10.19","Alcohol abuse with unspecified alcohol-induced disorder"
"M45.5","Ankylosing spondylitis of thoracolumbar region"
"M08.911","Juvenile arthritis, unspecified, right shoulder"
"M08.472","Pauciarticular juvenile rheumatoid arthritis, left ankle and foot"
"M08.471","Pauciarticular juvenile rheumatoid arthritis, right ankle and foot"
"E11.339","Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema"
"E06.5","Other chronic thyroiditis"
"M05.711","Rheumatoid arthritis with rheumatoid factor of right shoulder without organ or systems involvement"
"M05.749","Rheumatoid arthritis with rheumatoid factor of unspecified hand without organ or systems involvement"
"J45.32","Mild persistent asthma with status asthmaticus"
"E13.649","Other specified diabetes mellitus with hypoglycemia without coma"
"G40.911","Epilepsy, unspecified, intractable, with status epilepticus"
"M32.15","Tubulo-interstitial nephropathy in systemic lupus erythematosus"
"C43.72","Malignant melanoma of left lower limb, including hip"
"C43.21","Malignant melanoma of right ear and external auricular canal"
"D03.72","Melanoma in situ of left lower limb, including hip"
"E10.311","Type 1 diabetes mellitus with unspecified diabetic retinopathy with macular edema"
"E08.3291","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, right eye"
"J41.8","Mixed simple and mucopurulent chronic bronchitis"
"E04.0","Nontoxic diffuse goiter"
"I63.49","Cerebral infarction due to embolism of other cerebral artery"
"F19.24","Other psychoactive substance dependence with psychoactive substance-induced mood disorder"
"E09.40","Drug or chemical induced diabetes mellitus with neurological complications with diabetic neuropathy, unspecified"
"E09.22","Drug or chemical induced diabetes mellitus with diabetic chronic kidney disease"
"E11.01","Type 2 diabetes mellitus with hyperosmolarity with coma"
"I77.79","Dissection of other specified artery"
"I70.229","Atherosclerosis of native arteries of extremities with rest pain, unspecified extremity"
"K75.1","Phlebitis of portal vein"
"I65.03","Occlusion and stenosis of bilateral vertebral arteries"
"I69.344","Monoplegia of lower limb following cerebral infarction affecting left non-dominant side"
"I74.10","Embolism and thrombosis of unspecified parts of aorta"
"I77.72","Dissection of iliac artery"
"I78.0","Hereditary hemorrhagic telangiectasia"
"A54.42","Gonococcal arthritis"
"I69.865","Other paralytic syndrome following other cerebrovascular disease, bilateral"
"I69.369","Other paralytic syndrome following cerebral infarction affecting unspecified side"
"D03.9","Melanoma in situ, unspecified"
"M05.80","Other rheumatoid arthritis with rheumatoid factor of unspecified site"
"C7A.020","Malignant carcinoid tumor of the appendix"
"C7A.029","Malignant carcinoid tumor of the large intestine, unspecified portion"
"G47.429","Narcolepsy in conditions classified elsewhere without cataplexy"
"I71.00","Dissection of unspecified site of aorta"
"G31.89","Other specified degenerative diseases of nervous system"
"M45.6","Ankylosing spondylitis lumbar region"
"F15.150","Other stimulant abuse with stimulant-induced psychotic disorder with delusions"
"F15.259","Other stimulant dependence with stimulant-induced psychotic disorder, unspecified"
"F15.950","Other stimulant use, unspecified with stimulant-induced psychotic disorder with delusions"
"F14.950","Cocaine use, unspecified with cocaine-induced psychotic disorder with delusions"
"M33.10","Other dermatomyositis, organ involvement unspecified"
"E10.3391","Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye"
"G81.12","Spastic hemiplegia affecting left dominant side"
"F11.14","Opioid abuse with opioid-induced mood disorder"
"F19.951","Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder with hallucinations"
"I60.6","Nontraumatic subarachnoid hemorrhage from other intracranial arteries"
"G45.8","Other transient cerebral ischemic attacks and related syndromes"
"E10.3291","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye"
"E10.59","Type 1 diabetes mellitus with other circulatory complications"
